timestamp,screen_index,image_name,choice,left_model_key,right_model_key,left_is_correct,right_is_correct,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after,left_inference_ms,right_inference_ms
2026-02-20T15:22:41.158024,1,641831512.jpg,both_correct,rfdetr-nano,rtdetr-l,1,1,,,,yolov10x,0.040100,771.491,2152.677
2026-02-20T15:22:43.457062,2,641860608.jpg,both_correct,yolov10x,yolo26n,1,1,,,,yolo11n,0.039950,4075.606,553.150
2026-02-20T15:22:45.406774,3,641840318.jpeg,right,dino15-proxy,yolov10n,0,1,yes,yolov10x,yolov10n,yolov10n,0.072450,0.000,516.070
2026-02-20T15:22:46.683199,4,641923763.jpeg,both_correct,rfdetr-2xlarge,yolo26s,1,1,,,,yolov10n,0.072650,2460.513,694.722
2026-02-20T15:22:49.481236,5,641872597.jpg,both_correct,yolov10m,yolo26x,1,1,,,,yolov10n,0.071850,945.080,2443.066
2026-02-20T15:22:50.983744,6,641854549.jpg,both_correct,yolo11m,yolov10m,1,1,,,,yolov10n,0.072500,898.686,877.693
2026-02-20T15:22:52.833690,7,641923741.jpg,left,yolo26n,yolo11x,1,0,yes,yolo26n,yolov10n,yolov10n,0.076450,310.981,3968.424
2026-02-20T15:22:54.539840,8,641840318.jpeg,both_correct,yolov10x,yolov10n,1,1,,,,yolov10n,0.075250,1871.701,345.675
2026-02-20T15:23:02.031479,9,641923764.jpeg,both_correct,rtdetr-x,rtdetrv3-r50,1,1,,,,yolov10n,0.073150,5190.893,2953.473
2026-02-20T15:23:06.520666,10,641866087.jpeg,right,yolov10s,rtdetrv2-l,0,1,yes,rtdetrv2-l,yolo11n,rtdetrv2-l,0.075650,1033.077,2569.298
2026-02-20T15:23:13.058558,11,641843099.jpg,left,rfdetr-2xlarge,rtdetrv3-r50,1,0,yes,rfdetr-2xlarge,yolo11s,yolo26n,0.075950,1314.097,1762.069
2026-02-20T15:23:14.382259,12,641923741.jpg,both_correct,yolo26n,yolov10n,1,1,,,,rtdetrv2-l,0.074750,276.717,173.404
2026-02-20T15:23:16.831803,13,641899010.jpg,both_correct,rfdetr-2xlarge,yolov10x,1,1,,,,yolo26n,0.075050,1192.676,1025.542
2026-02-20T15:23:18.548329,14,641848279.jpg,both_correct,rtdetr-x,rfdetr-medium,1,1,,,,yolov10n,0.074050,3338.746,2340.773
2026-02-20T15:23:19.982772,15,641866087.jpeg,left,rtdetrv2-l,yolo11n,1,0,depth_limit,,,rtdetrv2-l,0.110550,1712.044,384.030
2026-02-20T15:23:24.051963,16,641843099.jpg,left,rfdetr-2xlarge,yolo11s,1,0,depth_limit,,,rfdetr-2xlarge,0.109500,574.989,501.999
2026-02-20T15:23:27.420884,17,641915319.jpg,left,yolo11s,rtdetr-x,1,0,yes,yolo26l,yolo11s,rfdetr-2xlarge,0.111050,318.419,2777.025
2026-02-20T15:23:28.784221,18,641858667.jpeg,both_correct,yolo26s,rtdetrv3-r50,1,1,,,,rtdetrv2-l,0.113600,656.256,2119.106
2026-02-20T15:23:29.654560,19,641916734.jpg,both_correct,yolo11l,yolo11n,1,1,,,,rtdetrv2-l,0.112250,2657.547,201.252
2026-02-20T15:23:32.571763,20,641857217.jpeg,right,yolo26n,yolo26m,0,1,yes,rtdetrv2-x,yolo26m,rfdetr-2xlarge,0.116650,168.567,1677.389
