screen_index,image_name,choice,left_model_key,left_model_name,left_is_correct,left_inference_ms,right_model_key,right_model_name,right_is_correct,right_inference_ms,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after
1,641831512.jpg,both_correct,rfdetr-nano,RF-DETR nano,1,771.491,rtdetr-l,RT-DETR HGNetv2-L,1,2152.677,,,,yolov10x,0.040100
2,641860608.jpg,both_correct,yolov10x,YOLOv10 x,1,4075.606,yolo26n,YOLO26 n,1,553.150,,,,yolo11n,0.039950
3,641840318.jpeg,right,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yolov10n,YOLOv10 n,1,516.070,yes,yolov10x,yolov10n,yolov10n,0.072450
4,641923763.jpeg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,2460.513,yolo26s,YOLO26 s,1,694.722,,,,yolov10n,0.072650
5,641872597.jpg,both_correct,yolov10m,YOLOv10 m,1,945.080,yolo26x,YOLO26 x,1,2443.066,,,,yolov10n,0.071850
6,641854549.jpg,both_correct,yolo11m,YOLO11 m,1,898.686,yolov10m,YOLOv10 m,1,877.693,,,,yolov10n,0.072500
7,641923741.jpg,left,yolo26n,YOLO26 n,1,310.981,yolo11x,YOLO11 x,0,3968.424,yes,yolo26n,yolov10n,yolov10n,0.076450
8,641840318.jpeg,both_correct,yolov10x,YOLOv10 x,1,1871.701,yolov10n,YOLOv10 n,1,345.675,,,,yolov10n,0.075250
9,641923764.jpeg,both_correct,rtdetr-x,RT-DETR HGNetv2-X,1,5190.893,rtdetrv3-r50,RT-DETRv3 R50,1,2953.473,,,,yolov10n,0.073150
10,641866087.jpeg,right,yolov10s,YOLOv10 s,0,1033.077,rtdetrv2-l,RT-DETRv2 L,1,2569.298,yes,rtdetrv2-l,yolo11n,rtdetrv2-l,0.075650
11,641843099.jpg,left,rfdetr-2xlarge,RF-DETR 2x-large,1,1314.097,rtdetrv3-r50,RT-DETRv3 R50,0,1762.069,yes,rfdetr-2xlarge,yolo11s,yolo26n,0.075950
12,641923741.jpg,both_correct,yolo26n,YOLO26 n,1,276.717,yolov10n,YOLOv10 n,1,173.404,,,,rtdetrv2-l,0.074750
13,641899010.jpg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,1192.676,yolov10x,YOLOv10 x,1,1025.542,,,,yolo26n,0.075050
14,641848279.jpg,both_correct,rtdetr-x,RT-DETR HGNetv2-X,1,3338.746,rfdetr-medium,RF-DETR medium,1,2340.773,,,,yolov10n,0.074050
15,641866087.jpeg,left,rtdetrv2-l,RT-DETRv2 L,1,1712.044,yolo11n,YOLO11 n,0,384.030,depth_limit,,,rtdetrv2-l,0.110550
16,641843099.jpg,left,rfdetr-2xlarge,RF-DETR 2x-large,1,574.989,yolo11s,YOLO11 s,0,501.999,depth_limit,,,rfdetr-2xlarge,0.109500
17,641915319.jpg,left,yolo11s,YOLO11 s,1,318.419,rtdetr-x,RT-DETR HGNetv2-X,0,2777.025,yes,yolo26l,yolo11s,rfdetr-2xlarge,0.111050
18,641858667.jpeg,both_correct,yolo26s,YOLO26 s,1,656.256,rtdetrv3-r50,RT-DETRv3 R50,1,2119.106,,,,rtdetrv2-l,0.113600
19,641916734.jpg,both_correct,yolo11l,YOLO11 l,1,2657.547,yolo11n,YOLO11 n,1,201.252,,,,rtdetrv2-l,0.112250
20,641857217.jpeg,right,yolo26n,YOLO26 n,0,168.567,yolo26m,YOLO26 m,1,1677.389,yes,rtdetrv2-x,yolo26m,rfdetr-2xlarge,0.116650
21,641900747.jpg,both_correct,yolo11m,YOLO11 m,1,1370.631,rtdetrv3-r18,RT-DETRv3 R18,1,2205.825,,,,rfdetr-2xlarge,0.117950
22,641915319.jpg,both_correct,yolo26l,YOLO26 l,1,1492.569,yolo11s,YOLO11 s,1,355.203,,,,rfdetr-2xlarge,0.120500
23,641856203.jpeg,both_correct,yolov10m,YOLOv10 m,1,1158.739,yolo26x,YOLO26 x,1,4763.583,,,,rfdetr-2xlarge,0.121250
24,641833016.jpg,both_correct,yolov10x,YOLOv10 x,1,1295.701,yolov10n,YOLOv10 n,1,253.905,,,,rtdetrv2-l,0.118050
25,641857217.jpeg,right,rtdetrv2-x,RT-DETRv2 X,0,5609.715,yolo26m,YOLO26 m,1,786.672,depth_limit,,,rfdetr-2xlarge,0.118450
26,641878256.jpg,left,yolo26s,YOLO26 s,1,322.907,rtdetrv3-r101,RT-DETRv3 R101,0,6570.641,yes,yolo26s,yolov10m,rfdetr-2xlarge,0.117900
27,641923768.jpeg,both_correct,yolo26x,YOLO26 x,1,2932.362,yolo11m,YOLO11 m,1,892.676,,,,rtdetrv2-l,0.118500
28,641894974.jpeg,both_correct,yolo26s,YOLO26 s,1,323.211,rfdetr-small,RF-DETR small,1,529.763,,,,rfdetr-2xlarge,0.120200
29,641895784.jpeg,both_correct,rtdetrv2-x,RT-DETRv2 X,1,3304.718,yolo11x,YOLO11 x,1,5041.835,,,,rfdetr-2xlarge,0.115950
30,641854543.jpg,both_correct,yolo26x,YOLO26 x,1,1401.626,rfdetr-2xlarge,RF-DETR 2x-large,1,5720.437,,,,yolo26m,0.118300
31,641878256.jpg,both_correct,yolo26s,YOLO26 s,1,466.595,yolov10m,YOLOv10 m,1,499.843,,,,rtdetrv2-l,0.119900
32,641880546.jpg,right,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yolov10m,YOLOv10 m,1,743.929,yes,rtdetr-x,yolov10m,yolo26m,0.116650
33,641878269.jpg,left,rfdetr-small,RF-DETR small,1,829.416,yolo26l,YOLO26 l,0,2507.968,yes,yolo26s,rfdetr-small,rfdetr-2xlarge,0.117600
34,641883738.jpg,both_correct,yolo26s,YOLO26 s,1,482.150,yolo26n,YOLO26 n,1,235.739,,,,rfdetr-2xlarge,0.113050
35,641855267.jpeg,both_wrong,yolov10n,YOLOv10 n,0,274.108,yolo11x,YOLO11 x,0,1251.376,,,,rtdetrv2-l,0.113100
36,641831638.jpg,both_correct,yolo26x,YOLO26 x,1,1881.816,yolo26l,YOLO26 l,1,1020.108,,,,rtdetrv2-l,0.112350
37,641880546.jpg,right,rtdetr-x,RT-DETR HGNetv2-X,0,5043.661,yolov10m,YOLOv10 m,1,1454.050,depth_limit,,,rfdetr-2xlarge,0.108400
38,641878269.jpg,right,yolo26s,YOLO26 s,0,409.899,rfdetr-small,RF-DETR small,1,405.223,depth_limit,,,yolov10m,0.112500
39,641893704.jpg,left,yolo11l,YOLO11 l,1,3165.910,yolo11n,YOLO11 n,0,355.232,yes,yolo11l,yolo11m,yolo26m,0.109200
40,641876287.jpg,both_wrong,yolo11l,YOLO11 l,0,759.044,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,,,,yolo26m,0.110850
41,641860842.jpg,both_correct,rtdetrv3-r18,RT-DETRv3 R18,1,2722.457,rtdetrv3-r101,RT-DETRv3 R101,1,4936.341,,,,yolov10m,0.109300
42,641854545.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,3729.430,yolov10x,YOLOv10 x,1,4206.126,,,,rtdetrv2-l,0.112100
43,641859715.jpg,both_wrong,yolo26m,YOLO26 m,0,1331.028,yolo26x,YOLO26 x,0,3034.061,,,,rfdetr-small,0.112550
44,641893704.jpg,both_correct,yolo11l,YOLO11 l,1,3737.011,yolo11m,YOLO11 m,1,1261.850,,,,rfdetr-small,0.108750
45,641876557.jpg,both_correct,rfdetr-medium,RF-DETR medium,1,2346.597,yolo11s,YOLO11 s,1,708.218,,,,yolov10m,0.108650
46,641858666.jpeg,both_correct,rfdetr-nano,RF-DETR nano,1,717.789,yolov10s,YOLOv10 s,1,641.568,,,,rfdetr-2xlarge,0.113600
47,641860022.jpeg,both_correct,yolo11s,YOLO11 s,1,285.115,yolov10x,YOLOv10 x,1,1763.164,,,,rfdetr-2xlarge,0.110900
48,641876288.jpg,both_wrong,yolo26x,YOLO26 x,0,1016.239,rfdetr-medium,RF-DETR medium,0,161.671,,,,rfdetr-small,0.111450
49,641869094.jpeg,left,yolo11m,YOLO11 m,1,534.605,rtdetrv2-x,RT-DETRv2 X,0,10145.116,yes,yolo11m,yolov10l,yolo26m,0.106700
50,641881753.jpeg,right,yolov10s,YOLOv10 s,0,1159.435,yolo11n,YOLO11 n,1,642.017,yes,yolo11n,yolov10n,yolov10m,0.107400
51,641878202.jpg,right,rtdetr-l,RT-DETR HGNetv2-L,0,2724.314,yolov10s,YOLOv10 s,1,852.624,yes,rfdetr-nano,yolov10s,rfdetr-2xlarge,0.110000
52,641883946.jpg,right,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yolo26x,YOLO26 x,1,1948.437,yes,yolo26n,yolo26x,rfdetr-2xlarge,0.107100
53,641864582.jpeg,both_correct,yolov10s,YOLOv10 s,1,540.912,yolov10n,YOLOv10 n,1,665.527,,,,yolo26m,0.108700
54,641869094.jpeg,both_correct,yolo11m,YOLO11 m,1,620.373,yolov10l,YOLOv10 l,1,4608.256,,,,rfdetr-2xlarge,0.104300
55,641881753.jpeg,both_correct,yolo11n,YOLO11 n,1,261.064,yolov10n,YOLOv10 n,1,533.958,,,,rfdetr-2xlarge,0.104900
56,641878202.jpg,both_correct,rfdetr-nano,RF-DETR nano,1,587.445,yolov10s,YOLOv10 s,1,415.627,,,,rtdetrv2-l,0.107500
57,641883946.jpg,both_correct,yolo26n,YOLO26 n,1,499.326,yolo26x,YOLO26 x,1,1503.852,,,,yolo26m,0.105100
58,641895786.jpeg,both_correct,yolov10n,YOLOv10 n,1,224.107,rtdetr-l,RT-DETR HGNetv2-L,1,1891.874,,,,rfdetr-small,0.107050
59,641882108.jpg,both_correct,rtdetrv3-r50,RT-DETRv3 R50,1,2449.803,rtdetrv2-l,RT-DETRv2 L,1,2427.307,,,,yolo26m,0.106750
60,641895166.jpg,both_correct,rfdetr-medium,RF-DETR medium,1,1078.443,yolo26x,YOLO26 x,1,1852.525,,,,rtdetrv2-l,0.107100
61,641866439.jpeg,both_correct,yolov10l,YOLOv10 l,1,1250.989,rfdetr-2xlarge,RF-DETR 2x-large,1,3032.017,,,,yolo26m,0.108050
62,641876569.jpg,both_correct,yolov10m,YOLOv10 m,1,5335.076,rtdetr-l,RT-DETR HGNetv2-L,1,2023.678,,,,rfdetr-2xlarge,0.105950
63,641831510.jpg,right,yolov10s,YOLOv10 s,0,389.180,rfdetr-nano,RF-DETR nano,1,226.409,yes,yolo11l,rfdetr-nano,rtdetrv2-l,0.102100
64,641923761.jpeg,right,yolo26x,YOLO26 x,0,1820.596,rtdetrv3-r18,RT-DETRv3 R18,1,3684.805,yes,rtdetrv3-r18,rfdetr-medium,yolo26m,0.105250
65,641848584.jpg,both_wrong,rtdetrv2-x,RT-DETRv2 X,0,7463.911,rfdetr-nano,RF-DETR nano,0,239.477,,,,rfdetr-small,0.105100
66,641885782.jpeg,right,yolo26n,YOLO26 n,0,169.269,yolo26s,YOLO26 s,1,1209.127,yes,rtdetrv2-l,yolo26s,rtdetrv2-l,0.106150
67,641874830.jpg,left,rfdetr-nano,RF-DETR nano,1,347.533,yolov10x,YOLOv10 x,0,3427.384,yes,yolov10m,rfdetr-nano,yolo26m,0.107050
68,641831510.jpg,both_correct,yolo11l,YOLO11 l,1,1500.786,rfdetr-nano,RF-DETR nano,1,590.000,,,,rfdetr-nano,0.105900
69,641923761.jpeg,left,rtdetrv3-r18,RT-DETRv3 R18,1,1774.890,rfdetr-medium,RF-DETR medium,0,1521.674,depth_limit,,,yolov10m,0.105350
70,641923762.jpeg,both_correct,yolo11l,YOLO11 l,1,889.031,yolov10s,YOLOv10 s,1,443.434,,,,rfdetr-small,0.106450
71,641885782.jpeg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,2822.682,yolo26s,YOLO26 s,1,402.931,,,,rtdetrv3-r18,0.106700
72,641874830.jpg,both_correct,yolov10m,YOLOv10 m,1,844.697,rfdetr-nano,RF-DETR nano,1,198.773,,,,yolov10m,0.107100
73,641895894.jpg,both_correct,yolo26l,YOLO26 l,1,1367.730,rfdetr-medium,RF-DETR medium,1,509.965,,,,rtdetrv3-r18,0.104950
74,641895787.jpeg,both_correct,rtdetrv3-r18,RT-DETRv3 R18,1,2392.902,rtdetrv3-r50,RT-DETRv3 R50,1,3824.108,,,,rfdetr-nano,0.105600
75,641874829.jpg,both_correct,yolov10l,YOLOv10 l,1,1842.713,yolov10n,YOLOv10 n,1,301.625,,,,yolov10m,0.103850
76,641855268.jpeg,both_wrong,yolo26x,YOLO26 x,0,1590.833,yolo11m,YOLO11 m,0,1304.667,,,,rfdetr-nano,0.105450
77,641895893.jpg,both_correct,yolov10l,YOLOv10 l,1,872.316,rfdetr-medium,RF-DETR medium,1,720.060,,,,rfdetr-nano,0.105500
78,641857216.jpeg,both_correct,yolo11s,YOLO11 s,1,1834.387,yolo11l,YOLO11 l,1,941.866,,,,rfdetr-nano,0.105000
79,641879143.jpg,both_correct,rfdetr-small,RF-DETR small,1,1349.805,yolov10x,YOLOv10 x,1,1765.993,,,,yolo26m,0.107250
80,641834454.jpg,right,rtdetr-x,RT-DETR HGNetv2-X,0,11069.515,yolov10m,YOLOv10 m,1,3138.530,yes,rfdetr-2xlarge,yolov10m,yolov10m,0.130900
81,641876062.jpg,both_correct,yolov10x,YOLOv10 x,1,1984.026,yolov10l,YOLOv10 l,1,1353.068,,,,yolov10m,0.134950
82,641848646.jpg,both_correct,yolov10x,YOLOv10 x,1,1702.927,rfdetr-medium,RF-DETR medium,1,637.584,,,,yolov10m,0.129400
83,641843148.jpg,right,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yolov10x,YOLOv10 x,1,1226.047,yes,yolov10x,yolo11l,yolov10m,0.133200
84,641915263.jpg,both_correct,yolo26m,YOLO26 m,1,4092.514,yolo26x,YOLO26 x,1,5531.036,,,,yolov10m,0.131550
85,641834454.jpg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,2948.396,yolov10m,YOLOv10 m,1,1333.220,,,,yolov10m,0.130300
86,641886992.jpeg,right,rtdetrv3-r101,RT-DETRv3 R101,0,4309.659,yolov10l,YOLOv10 l,1,1550.760,yes,yolo11x,yolov10l,yolov10m,0.134400
87,641869962.jpg,right,yolo26s,YOLO26 s,0,564.071,yolo26m,YOLO26 m,1,1249.358,yes,yolo26m,yolo26l,yolov10m,0.126800
88,641843148.jpg,both_correct,yolov10x,YOLOv10 x,1,3050.970,yolo11l,YOLO11 l,1,1434.566,,,,yolo26m,0.127750
89,641860609.jpg,right,yolo26s,YOLO26 s,0,191.371,yolo11m,YOLO11 m,1,940.977,yes,yolo11n,yolo11m,yolov10m,0.126000
90,641867712.jpg,both_wrong,rtdetrv3-r101,RT-DETRv3 R101,0,2203.597,rtdetrv2-l,RT-DETRv2 L,0,2493.963,,,,yolov10m,0.125900
91,641886992.jpeg,both_correct,yolo11x,YOLO11 x,1,2131.344,yolov10l,YOLOv10 l,1,736.568,,,,yolov10m,0.127950
92,641869962.jpg,both_correct,yolo26m,YOLO26 m,1,493.695,yolo26l,YOLO26 l,1,1612.853,,,,yolo26m,0.119700
93,641876069.jpg,left,yolo26s,YOLO26 s,1,349.835,yolo11x,YOLO11 x,0,1027.643,yes,yolo26s,yolo11m,yolov10m,0.121500
94,641860609.jpg,both_correct,yolo11n,YOLO11 n,1,230.358,yolo11m,YOLO11 m,1,429.521,,,,yolo26m,0.123450
95,641883495.jpg,both_correct,yolo11n,YOLO11 n,1,135.745,yolov10l,YOLOv10 l,1,918.803,,,,yolo26m,0.121400
96,641895206.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,1109.378,yolov10l,YOLOv10 l,1,601.058,,,,yolo26m,0.123900
97,641858668.jpeg,right,yolo26s,YOLO26 s,0,309.173,yolo26m,YOLO26 m,1,506.096,yes,rtdetrv3-r18,yolo26m,yolo26m,0.145650
98,641876069.jpg,both_correct,yolo26s,YOLO26 s,1,293.763,yolo11m,YOLO11 m,1,428.151,,,,yolo26m,0.147900
99,641869087.jpeg,both_correct,yolov10m,YOLOv10 m,1,542.469,rtdetrv2-x,RT-DETRv2 X,1,4934.650,,,,yolo26m,0.147700
100,641877803.jpg,both_correct,yolo26l,YOLO26 l,1,704.536,rfdetr-small,RF-DETR small,1,592.689,,,,yolo26m,0.153000
101,641876231.jpg,both_correct,yolo11m,YOLO11 m,1,394.453,yolov10m,YOLOv10 m,1,420.937,,,,yolo26m,0.142450
102,641858668.jpeg,both_correct,rtdetrv3-r18,RT-DETRv3 R18,1,2434.329,yolo26m,YOLO26 m,1,766.417,,,,yolo26m,0.148650
103,641910394.jpeg,both_correct,yolo26n,YOLO26 n,1,221.972,rtdetrv2-l,RT-DETRv2 L,1,1150.464,,,,yolo26m,0.152200
104,641893515.jpg,both_correct,rfdetr-nano,RF-DETR nano,1,298.502,yolo11m,YOLO11 m,1,511.822,,,,yolo26m,0.147850
