model_key,model_name,count,mean_ms,p50_ms,p90_ms,min_ms,max_ms
dino15-proxy,DINO 1.5 Pro proxy,0,0.000,0.000,0.000,0.000,0.000
rfdetr-2xlarge,RF-DETR 2x-large,15,1847.926,1192.676,3084.987,574.989,5720.437
rfdetr-medium,RF-DETR medium,18,804.567,533.589,1767.404,161.671,2346.597
rfdetr-nano,RF-DETR nano,14,338.968,232.943,679.452,133.860,771.491
rfdetr-small,RF-DETR small,19,379.479,282.263,640.034,152.527,1349.805
rtdetr-l,RT-DETR HGNetv2-L,12,1555.141,1195.969,2146.159,1024.041,2724.314
rtdetr-x,RT-DETR HGNetv2-X,9,4551.693,3886.828,6366.618,2118.137,11069.515
rtdetrv2-l,RT-DETRv2 L,19,1630.745,1283.301,2619.975,977.512,3729.430
rtdetrv2-x,RT-DETRv2 X,17,3369.603,2256.346,6351.394,1959.434,10145.116
rtdetrv3-r101,RT-DETRv3 R101,14,2955.341,2185.673,4748.337,1884.193,6570.641
rtdetrv3-r18,RT-DETRv3 R18,15,1860.261,1774.890,2607.206,986.004,3684.805
rtdetrv3-r50,RT-DETRv3 R50,9,2198.047,2119.106,3127.600,1167.187,3824.108
yolo11l,YOLO11 l,16,1306.122,915.448,2911.728,510.996,3737.011
yolo11m,YOLO11 m,24,627.714,480.453,1165.588,342.382,1370.631
yolo11n,YOLO11 n,16,218.889,169.514,369.631,93.279,642.017
yolo11s,YOLO11 s,16,412.680,291.887,627.090,166.602,1834.387
yolo11x,YOLO11 x,8,2457.701,2297.720,4290.447,1023.685,5041.835
yolo26l,YOLO26 l,10,1176.375,1119.358,1702.364,542.792,2507.968
yolo26m,YOLO26 m,18,882.534,542.977,1434.937,284.422,4092.514
yolo26n,YOLO26 n,12,255.464,219.491,480.492,108.716,553.150
yolo26s,YOLO26 s,19,439.874,369.490,663.950,179.202,1209.127
yolo26x,YOLO26 x,25,1806.421,1503.852,2993.382,544.809,5531.036
yolov10l,YOLOv10 l,19,1116.177,736.568,1609.151,572.018,4608.256
yolov10m,YOLOv10 m,17,1180.558,758.531,2127.842,379.002,5335.076
yolov10n,YOLOv10 n,17,273.291,224.107,523.225,128.987,665.527
yolov10s,YOLOv10 s,14,529.354,426.901,978.941,216.490,1159.435
yolov10x,YOLOv10 x,23,1740.030,1643.369,3352.101,622.086,4206.126
