quality_rank,speed_rank,model_key,model_name,posterior_best_prob,win_rate,wins,losses,ties,correct,judged,correct_rate,mean_ms,p90_ms
1,9,yolov10m,YOLOv10 m,0.078150,1.000000,1.000,0.000,2,3,3,1.000000,709.329,750.524
2,18,yolov10x,YOLOv10 x,0.077750,1.000000,1.000,0.000,2,2,3,0.666667,1760.994,2214.551
3,11,rfdetr-medium,RF-DETR medium,0.074900,1.000000,1.000,0.000,1,2,2,1.000000,756.738,783.911
4,16,yolo26x,YOLO26 x,0.074150,1.000000,1.000,0.000,2,3,3,1.000000,1692.103,1791.751
5,4,yolov10s,YOLOv10 s,0.073750,1.000000,1.000,0.000,1,2,2,1.000000,277.739,298.879
6,5,rfdetr-nano,RF-DETR nano,0.039600,0.000000,0.000,0.000,1,1,1,1.000000,281.983,281.983
7,26,rtdetrv2-x,RT-DETRv2 X,0.039000,0.000000,0.000,0.000,0,0,0,0.000000,0.000,0.000
8,19,rtdetrv3-r50,RT-DETRv3 R50,0.038850,0.000000,0.000,0.000,2,2,2,1.000000,1815.240,1834.993
9,24,dino15-proxy,DINO 1.5 Pro proxy,0.038800,0.000000,0.000,0.000,3,2,3,0.666667,2978.859,2997.860
10,14,yolov10l,YOLOv10 l,0.038450,0.000000,0.000,0.000,1,1,1,1.000000,1189.653,1189.653
11,3,yolo11n,YOLO11 n,0.038400,0.000000,0.000,0.000,1,1,1,1.000000,202.468,202.468
12,22,yolo11x,YOLO11 x,0.038200,0.000000,0.000,0.000,2,2,2,1.000000,2162.527,2668.691
13,13,yolo26l,YOLO26 l,0.038200,0.000000,0.000,0.000,1,1,1,1.000000,1065.665,1065.665
14,27,rfdetr-small,RF-DETR small,0.037950,0.000000,0.000,0.000,0,0,0,0.000000,0.000,0.000
15,8,yolo26m,YOLO26 m,0.037300,0.000000,0.000,0.000,1,1,1,1.000000,641.886,641.886
16,7,yolo11s,YOLO11 s,0.036800,0.000000,0.000,0.000,3,3,3,1.000000,405.646,495.542
17,1,yolov10n,YOLOv10 n,0.036750,0.000000,0.000,0.000,4,4,4,1.000000,162.342,198.266
18,25,rtdetr-x,RT-DETR HGNetv2-X,0.036650,0.000000,0.000,0.000,0,0,0,0.000000,0.000,0.000
19,20,rtdetr-l,RT-DETR HGNetv2-L,0.036450,0.000000,0.000,0.000,2,2,2,1.000000,1977.471,2289.060
20,12,yolo11l,YOLO11 l,0.035700,0.000000,0.000,0.000,2,2,2,1.000000,1052.037,1113.274
21,21,rtdetrv3-r18,RT-DETRv3 R18,0.035400,0.000000,0.000,0.000,1,0,1,0.000000,1984.723,1984.723
22,17,rtdetrv2-l,RT-DETRv2 L,0.007250,0.500000,1.000,1.000,3,4,5,0.800000,1729.667,1897.906
23,2,yolo26n,YOLO26 n,0.002550,0.000000,0.000,1.000,1,1,2,0.500000,191.859,206.236
24,15,rfdetr-2xlarge,RF-DETR 2x-large,0.002550,0.000000,0.000,1.000,2,2,3,0.666667,1684.757,1833.062
25,6,yolo26s,YOLO26 s,0.002500,0.000000,0.000,1.000,4,4,5,0.800000,321.556,378.669
26,23,rtdetrv3-r101,RT-DETRv3 R101,0.002150,0.000000,0.000,1.000,1,1,2,0.500000,2963.856,3064.314
27,10,yolo11m,YOLO11 m,0.001800,0.000000,0.000,1.000,1,0,2,0.000000,739.219,909.029
